date,subs,views,subs_techtrek,views_techtrek,followers_instagram,following_instagram,media_instagram,avg_likes_instagram,avg_comments_instagram,followers_twitter,following_twitter,tweets_twitter,favorites_twitter,followers_tiktok,following_tiktok,likes_tiktok,uploads_tiktok
2022-04-05,154000.0,10130321.0,2900.0,17010.0,4500.0,793.0,157.0,579.625,34.4375,3725.0,157.0,589.0,777.0,,,,
2022-04-04,154000.0,10130321.0,2900.0,16953.0,4503.0,793.0,157.0,579.625,34.4375,3720.0,156.0,588.0,776.0,,,,
2022-04-03,154000.0,10109745.0,2890.0,16911.0,4499.0,792.0,157.0,579.562,34.4375,3718.0,156.0,588.0,775.0,,,,
2022-04-02,154000.0,10109745.0,2890.0,16877.0,4495.0,790.0,157.0,579.562,34.4375,3718.0,156.0,588.0,775.0,,,,
2022-04-01,154000.0,10100783.0,2890.0,16824.0,4497.0,790.0,157.0,579.562,34.4375,3714.0,156.0,587.0,775.0,,,,
2022-03-31,154000.0,10090927.0,2880.0,16770.0,4492.0,789.0,157.0,579.562,34.625,3715.0,156.0,584.0,775.0,,,,
2022-03-30,154000.0,10081453.0,2880.0,16714.0,4487.0,789.0,157.0,579.312,34.625,3714.0,156.0,582.0,775.0,,,,
2022-03-29,153000.0,10071619.0,2880.0,16676.0,4486.0,789.0,157.0,579.25,34.625,3708.0,156.0,577.0,773.0,,,,
2022-03-28,153000.0,10060478.0,2880.0,16585.0,4491.0,786.0,157.0,579.188,34.625,3703.0,156.0,577.0,773.0,,,,
2022-03-27,153000.0,10040937.0,2870.0,16541.0,4494.0,783.0,157.0,578.375,34.625,3704.0,156.0,576.0,772.0,,,,
2022-03-26,153000.0,10040937.0,2870.0,16499.0,4500.0,781.0,156.0,576.375,34.625,3701.0,156.0,574.0,772.0,,,,
2022-03-25,153000.0,10020311.0,2870.0,16447.0,4491.0,780.0,155.0,552.375,33.875,3701.0,156.0,574.0,772.0,,,,
2022-03-24,153000.0,10020311.0,2860.0,16409.0,4488.0,779.0,155.0,552.312,33.875,3698.0,156.0,573.0,772.0,,,,
2022-03-23,153000.0,10008465.0,2860.0,16357.0,4486.0,778.0,154.0,552.312,33.875,3698.0,157.0,573.0,772.0,,,,
2022-03-22,153000.0,9996473.0,2860.0,16292.0,4482.0,778.0,154.0,551.938,33.875,3698.0,157.0,573.0,772.0,,,,
2022-03-21,152000.0,9972728.0,2860.0,16232.0,4475.0,776.0,154.0,551.875,33.875,3693.0,157.0,572.0,772.0,,,,
2022-03-20,152000.0,9972728.0,2850.0,16180.0,4474.0,777.0,154.0,551.812,33.875,3693.0,157.0,572.0,772.0,,,,
2022-03-19,152000.0,9961781.0,2850.0,16125.0,4472.0,777.0,154.0,551.875,33.875,3691.0,157.0,572.0,772.0,,,,
2022-03-18,152000.0,9950605.0,2850.0,16074.0,4470.0,777.0,154.0,551.812,33.875,3685.0,157.0,572.0,772.0,,,,
2022-03-17,152000.0,9925604.0,2850.0,16023.0,4467.0,775.0,154.0,551.625,33.875,3680.0,166.0,569.0,768.0,,,,
2022-03-16,152000.0,9925604.0,2840.0,15974.0,4462.0,774.0,154.0,551.562,33.875,3677.0,166.0,563.0,764.0,,,,
2022-03-15,152000.0,9915480.0,2840.0,15918.0,4464.0,773.0,154.0,551.188,33.875,3674.0,166.0,563.0,762.0,,,,
2022-03-14,152000.0,9905309.0,2830.0,15857.0,4458.0,771.0,153.0,551.188,33.875,3672.0,166.0,563.0,762.0,,,,
2022-03-13,151000.0,9895657.0,2830.0,15810.0,4462.0,770.0,153.0,550.875,33.8125,3670.0,166.0,563.0,762.0,,,,
2022-03-12,151000.0,9877455.0,2820.0,15768.0,4458.0,768.0,153.0,550.188,33.8125,3671.0,166.0,562.0,761.0,,,,
2022-03-11,151000.0,9877455.0,2820.0,15726.0,4461.0,768.0,153.0,549.438,33.8125,3670.0,166.0,561.0,760.0,,,,
