date,subs,views
2021-10-31,134000,8554799
2021-10-30,134000,8547028
2021-10-29,134000,8528351
2021-10-28,134000,8517147
2021-10-27,134000,8517147
2021-10-26,134000,8507116
2021-10-25,134000,8497997
2021-10-24,133000,8488684
2021-10-23,133000,8480107
2021-10-22,133000,8471198
2021-10-21,133000,8462827
2021-10-20,133000,8451927
2021-10-19,133000,8442288
2021-10-18,133000,8418309
2021-10-17,133000,8418309
2021-10-16,132000,8412997
2021-10-15,132000,8403818
2021-10-14,132000,8394632
2021-10-13,132000,8384405
2021-10-12,132000,8375275
2021-10-11,132000,8365853
2021-10-10,132000,8354599
2021-10-09,132000,8349850
2021-10-08,131000,8340509
2021-10-07,131000,8333092
2021-10-06,131000,8323359
2021-10-05,131000,8313512
2021-10-04,131000,8304283
2021-10-03,131000,8295257
2021-10-02,131000,8286877
2021-10-01,131000,8269981
2021-09-30,130000,8269981
2021-09-29,130000,8260695
2021-09-28,130000,8251470
2021-09-27,130000,8238447
2021-09-26,130000,8233103
2021-09-25,130000,8215923
2021-09-24,130000,8215923
2021-09-23,130000,8206688
2021-09-22,129000,8197624
2021-09-21,129000,8188333
2021-09-20,129000,8179307
2021-09-19,129000,8170715
2021-09-18,129000,8162435
2021-09-17,129000,8154291
2021-09-16,129000,8146061
2021-09-15,128000,8137325
2021-09-14,128000,8128897
2021-09-13,128000,8119104
2021-09-12,128000,8112268
2021-09-11,128000,8104695
2021-09-10,128000,8097335
2021-09-09,128000,8088831
2021-09-08,128000,8080681
2021-09-07,127000,8072084
2021-09-06,127000,8063752
2021-09-05,127000,8054932
2021-09-04,127000,8048636
2021-09-03,127000,8040766
2021-09-02,127000,8032307
2021-09-01,127000,8024429
2021-08-31,127000,8016780
2021-08-30,127000,8008214
2021-08-29,126000,7996897
2021-08-28,126000,7990773
2021-08-27,126000,7983296
2021-08-26,126000,7974990
2021-08-25,126000,7966444
2021-08-24,126000,7955839
2021-08-23,126000,7948374
2021-08-22,126000,7939619
2021-08-21,125000,7931714
2021-08-20,125000,7923484
2021-08-19,125000,7914881
2021-08-18,125000,7906028
2021-08-17,125000,7896439
2021-08-16,125000,7887192
2021-08-15,125000,7874091
2021-08-14,124000,7870485
2021-08-13,124000,7862465
2021-08-12,124000,7853991
2021-08-11,124000,7844727
2021-08-10,124000,7835701
2021-08-09,124000,7818876
2021-08-08,124000,7818876
2021-08-07,124000,7810558
2021-08-06,123000,7803266
2021-08-05,123000,7792498
2021-08-04,123000,7786069
2021-08-03,123000,7777241
2021-08-02,123000,7768164
2021-08-01,123000,7759039
2021-07-31,123000,7750514
2021-07-30,123000,7742372
2021-07-29,123000,7734246
2021-07-28,122000,7725347
2021-07-27,122000,7715138
2021-07-26,122000,7705412
2021-07-25,122000,7696999
2021-07-24,122000,7688255
2021-07-23,122000,7679959
2021-07-22,121000,7669961
2021-07-21,121000,7660671
2021-07-20,121000,7651409
2021-07-19,121000,7643053
2021-07-18,121000,7634541
2021-07-17,121000,7626450
2021-07-16,121000,7618521
2021-07-15,121000,7609922
2021-07-14,120000,7601402
2021-07-13,120000,7591669
2021-07-12,120000,7582450
2021-07-11,120000,7571798
2021-07-10,120000,7566210
2021-07-09,120000,7558635
2021-07-08,120000,7550156
2021-07-07,119000,7541280
2021-07-06,119000,7533161
2021-07-05,119000,7524845
2021-07-04,119000,7514507
2021-07-03,119000,7509282
2021-07-02,119000,7502333
2021-07-01,119000,7494580
2021-06-30,119000,7486815
2021-06-29,118000,7479503
2021-06-28,118000,7470969
2021-06-27,118000,7463542
2021-06-26,118000,7456319
2021-06-25,118000,7448950
2021-06-24,118000,7441450
2021-06-23,118000,7433680
2021-06-22,118000,7425658
2021-06-21,117000,7417528
2021-06-20,117000,7409296
2021-06-19,117000,7402098
2021-06-18,117000,7395086
2021-06-17,117000,7386618
2021-06-16,117000,7378641
2021-06-15,117000,7370225
2021-06-14,117000,7361528
2021-06-13,117000,7353838
2021-06-12,116000,7346207
2021-06-11,116000,7338751
2021-06-10,116000,7330827
2021-06-09,116000,7313580
2021-06-08,116000,7313580
2021-06-07,116000,7304263
2021-06-06,116000,7295661
2021-06-05,115000,7287815
2021-06-04,115000,7279840
2021-06-03,115000,7271467
2021-06-02,115000,7262436
2021-06-01,115000,7253750
2021-05-31,115000,7245253
2021-05-30,115000,7234403
2021-05-29,115000,7228309
2021-05-28,114000,7220741
2021-05-27,114000,7212359
2021-05-26,114000,7203940
2021-05-25,114000,7195002
2021-05-24,114000,7186143
2021-05-23,114000,7175831
2021-05-22,114000,7171054
2021-05-21,114000,7163719
2021-05-20,113000,7155213
2021-05-19,113000,7146370
2021-05-18,113000,7137361
2021-05-17,113000,7127516
2021-05-16,113000,7118737
2021-05-15,113000,7110852
2021-05-14,113000,7103040
2021-05-13,113000,7094233
2021-05-12,112000,7086517
2021-05-11,112000,7077902
2021-05-10,112000,7068600
2021-05-09,112000,7060976
2021-05-08,112000,7053095
2021-05-07,112000,7045201
2021-05-06,112000,7036525
2021-05-05,112000,7028005
2021-05-04,111000,7019699
2021-05-03,111000,7010920
2021-05-02,111000,7000213
2021-05-01,111000,6994074
2021-04-30,111000,6986169
2021-04-29,111000,6977881
2021-04-28,111000,6970246
2021-04-27,110000,6960563
2021-04-26,110000,6951456
2021-04-25,110000,6940327
2021-04-24,110000,6934038
2021-04-23,109000,6926799
2021-04-22,109000,6918101
2021-04-21,109000,6908993
2021-04-20,109000,6900358
2021-04-19,109000,6891876
2021-04-18,109000,6883148
2021-04-17,109000,6874487
2021-04-16,109000,6868159
2021-04-15,108000,6858272
2021-04-14,108000,6849817
2021-04-13,108000,6832958
2021-04-12,108000,6823455
2021-04-11,108000,6816369
2021-04-10,108000,6808632
2021-04-09,108000,6799606
2021-04-08,108000,6790902
2021-04-07,108000,6781982
2021-04-06,108000,6772872
2021-04-05,107000,6763166
2021-04-04,107000,6757027
2021-04-03,107000,6748167
2021-04-02,107000,6739746
2021-04-01,107000,6731219
2021-03-31,107000,6722674
2021-03-30,107000,6714362
2021-03-29,106000,6706236
2021-03-28,106000,6698226
2021-03-27,106000,6689269
2021-03-26,106000,6679094
2021-03-25,106000,6670744
2021-03-24,106000,6660434
2021-03-23,105000,6650912
2021-03-22,105000,6642512
2021-03-20,105000,6627679
2021-03-19,105000,6617774
2021-03-18,105000,6609215
2021-03-17,105000,6599670
2021-03-16,104000,6591578
2021-03-15,104000,6583182
2021-03-14,104000,6575525
2021-03-13,104000,6567684
2021-03-12,104000,6558868
2021-03-11,104000,6549843
2021-03-10,104000,6540994
